sudID,VO2,time,faster,faster.c,fast.cat,lin.c,quad.c,groups
s001,74,116,1,1,faster,1,-1,faster
s002,68,117,1,1,faster,1,-1,faster
s003,70.5,119,1,1,faster,1,-1,faster
s004,61,121,1,1,faster,1,-1,faster
s005,73.25,121,1,1,faster,1,-1,faster
s006,68.25,122,1,1,faster,1,-1,faster
s007,64.5,125,1,1,faster,1,-1,faster
s008,63,128,1,1,faster,0,2,medium
s009,60.75,130,1,1,faster,0,2,medium
s010,64,130,1,1,faster,0,2,medium
s011,58,132,1,1,faster,0,2,medium
s012,60.5,135,0,-1,slower,0,2,medium
s013,66,136,0,-1,slower,0,2,medium
s014,60,137,0,-1,slower,0,2,medium
s015,65.75,137,0,-1,slower,-1,-1,slower
s016,66.25,141,0,-1,slower,-1,-1,slower
s017,57.5,143,0,-1,slower,-1,-1,slower
s018,50,147,0,-1,slower,-1,-1,slower
s019,56.75,153,0,-1,slower,-1,-1,slower
s020,52.5,159,0,-1,slower,-1,-1,slower
s021,57,160,0,-1,slower,-1,-1,slower
