subID,group,post_score,pre_score,FA,US,AES,END,NOV,INV,EngTotal
s001,exp,17257,1549,5.375,5.142857143,5.75,4.5,5.333333333,5.666666667,5.294642857
s002,ctrl,17374,952,4.875,5.142857143,4.25,3.75,5,5.333333333,4.725198413
s003,exp,22229,1342,2.125,4.285714286,3.5,2.25,3.666666667,4.333333333,3.360119048
s004,exp,19386,969,2.5,4,6.5,7,7,7,5.666666667
s005,ctrl,9519,1571,4.5,5.714285714,5,3.75,3.333333333,5,4.549603175
s006,exp,17363,433,2.25,6.428571429,4.25,3,3.333333333,3.666666667,3.821428571
s007,exp,21656,1084,1.75,5.142857143,2.75,2.75,2,5.666666667,3.343253968
s008,ctrl,7069,543,4.375,5,4.5,4.25,3.666666667,4.666666667,4.409722222
s009,ctrl,22405,839,2.5,4.571428571,4.5,3.25,3,3.666666667,3.581349206
s010,ctrl,18880,836,2.75,4,5.75,3.5,4.666666667,4.666666667,4.222222222
s011,exp,17898,1259,3,4.714285714,5.75,5.25,5.666666667,5,4.896825397
s012,ctrl,11174,1168,3.625,5.428571429,4.5,4,2.333333333,5,4.14781746
s013,exp,11903,844,4.625,4.428571429,4,3.75,4.666666667,5.333333333,4.467261905
s014,ctrl,16993,758,5.375,5.285714286,4.25,5.75,5.333333333,6,5.33234127
s015,ctrl,14192,58,5.125,3.714285714,5.25,5,5.333333333,6.666666667,5.181547619
s017,exp,15139,1029,3.75,5.714285714,5,4.75,4.333333333,5.333333333,4.813492063
s018,ctrl,12072,1240,5,4.285714286,4.5,3.25,3.666666667,6,4.450396825
s019,exp,23549,873,5.875,3.714285714,5.25,5,5.666666667,6,5.250992063
s020,exp,17875,874,4.375,7,5.75,5.75,6.666666667,7,6.090277778
s021,ctrl,12932,1271,4.125,5.142857143,3,4,3.333333333,5.333333333,4.155753968
s022,exp,12652,969,3.25,3,2.75,3.5,3.666666667,6,3.694444444
s023,ctrl,10858,1346,6,4.714285714,5.5,5.5,5.666666667,6.666666667,5.674603175
s024,exp,11872,749,4.875,3.571428571,3.5,4.5,4,5.666666667,4.35218254
s025,ctrl,13082,856,3.875,4.857142857,6,4.25,4.666666667,5.666666667,4.885912698
s026,ctrl,15305,1363,5.25,3.714285714,5.25,5.25,5.666666667,5.666666667,5.132936508
s027,exp,8600,1351,2,6.428571429,2,1.5,1.333333333,1.666666667,2.488095238
s028,exp,20782,1380,3.375,3,4.25,3.5,2.666666667,4.666666667,3.576388889
s029,exp,14905,1373,4.125,4.857142857,4.25,3.75,3.666666667,4.666666667,4.219246032
s030,ctrl,12197,1458,5.5,4.428571429,5.25,6,5.666666667,5.333333333,5.363095238
s031,ctrl,6801,1139,5.625,3.714285714,4.25,5.75,6.333333333,6,5.278769841
