SUB_ID,GROUP_#,lin.c,quad.c,GROUP_STRING,FIBER_TYPE,TIME,FIBER_COUNT,CSA,NUCLEI
MRV001,1,-1,-1,FIXED,FAST,1,57,4629.5,4.5
MRV001,1,-1,-1,FIXED,SLOW,1,69,2933,3
MRV001,1,-1,-1,FIXED,FAST,2,88,4256.4,3.6
MRV001,1,-1,-1,FIXED,SLOW,2,39,2431.6,2.4
MRV001,1,-1,-1,FIXED,FAST,3,53,5311.5,5.3
MRV001,1,-1,-1,FIXED,SLOW,3,84,2573.1,2.9
MRV001,1,-1,-1,FIXED,FAST,4,59,6085.4,5.1
MRV001,1,-1,-1,FIXED,SLOW,4,29,4212.2,4
MRV002,1,-1,-1,FIXED,FAST,1,31,4939.1,4.6
MRV002,1,-1,-1,FIXED,SLOW,1,85,3960.4,3.2
MRV002,1,-1,-1,FIXED,FAST,2,61,3960.8,3.7
MRV002,1,-1,-1,FIXED,SLOW,2,76,2823.3,2.4
MRV002,1,-1,-1,FIXED,FAST,3,57,5736.7,4.4
MRV002,1,-1,-1,FIXED,SLOW,3,29,4357.1,4.1
MRV002,1,-1,-1,FIXED,FAST,4,73,4268.5,3.8
MRV002,1,-1,-1,FIXED,SLOW,4,36,3037.7,3.1
MRV006,1,-1,-1,FIXED,FAST,1,48,5770.8,4
MRV006,1,-1,-1,FIXED,SLOW,1,40,4452.6,3.5
MRV006,1,-1,-1,FIXED,FAST,2,46,6319.6,5.1
MRV006,1,-1,-1,FIXED,SLOW,2,30,3650.9,3.4
MRV006,1,-1,-1,FIXED,FAST,3,53,5374.2,4.5
MRV006,1,-1,-1,FIXED,SLOW,3,48,3642,2.6
MRV006,1,-1,-1,FIXED,FAST,4,43,5400,4.6
MRV006,1,-1,-1,FIXED,SLOW,4,37,3679.6,3.2
MRV007,1,-1,-1,FIXED,FAST,1,78,3143.7,3.3
MRV007,1,-1,-1,FIXED,SLOW,1,42,3072.3,3.9
MRV007,1,-1,-1,FIXED,FAST,2,94,3932,3.5
MRV007,1,-1,-1,FIXED,SLOW,2,48,2887.4,2.8
MRV007,1,-1,-1,FIXED,FAST,3,73,3385.8,2.6
MRV007,1,-1,-1,FIXED,SLOW,3,42,2688.1,2.1
MRV007,1,-1,-1,FIXED,FAST,4,95,3065.2,1.7
MRV007,1,-1,-1,FIXED,SLOW,4,46,2665.4,1.6
MRV013,1,-1,-1,FIXED,FAST,1,63,3041.1,2.3
MRV013,1,-1,-1,FIXED,SLOW,1,67,4787.9,3.3
MRV013,1,-1,-1,FIXED,FAST,2,40,2747.2,1.9
MRV013,1,-1,-1,FIXED,SLOW,2,69,4404.7,2.9
MRV013,1,-1,-1,FIXED,FAST,3,27,2591.3,2.9
MRV013,1,-1,-1,FIXED,SLOW,3,89,4243,3.8
MRV013,1,-1,-1,FIXED,FAST,4,61,2546.4,1.7
MRV013,1,-1,-1,FIXED,SLOW,4,68,4237.6,2.5
MRV017,1,-1,-1,FIXED,FAST,1,52,3591.3,2.3
MRV017,1,-1,-1,FIXED,SLOW,1,87,3867.5,2.4
MRV017,1,-1,-1,FIXED,FAST,2,60,2802.3,2.8
MRV017,1,-1,-1,FIXED,SLOW,2,77,2880.6,2.6
MRV017,1,-1,-1,FIXED,FAST,3,34,3906.7,1.8
