time_point,year,month,anomaly,unc,abs_temp
1750.01,1750,1,-0.014,3.194,2.586
1750.02,1750,2,0.028,3.714,3.238
1750.03,1750,3,0.039,2.769,5.369
1750.04,1750,4,-0.53,1.931,7.82
1750.05,1750,5,-0.446,2.199,10.924
1750.06,1750,6,-0.732,0.981,12.798
1750.07,1750,7,1.256,1.094,15.656
1750.08,1750,8,0.176,1.834,14.086
1750.09,1750,9,-1.439,2.222,10.671
1750.1,1750,10,-3.207,1.675,6.053
1750.11,1750,11,,,
1750.12,1750,12,-1.883,2.878,1.767
1751.01,1751,1,-0.661,3.143,1.939
1751.02,1751,2,-2.447,3.298,0.763
1751.03,1751,3,0.574,2.379,5.904
1751.04,1751,4,-0.878,1.931,7.472
1751.05,1751,5,,,
1751.06,1751,6,0.215,0.944,13.745
1751.07,1751,7,,,
1751.08,1751,8,-0.114,1.705,13.796
1751.09,1751,9,-2.081,2.192,10.029
1751.1,1751,10,,,
1751.11,1751,11,,,
1751.12,1751,12,,,
1752.01,1752,1,-3.036,,-0.436
1752.02,1752,2,,,
1752.03,1752,3,0.724,,6.054
1752.04,1752,4,-0.778,,7.572
1752.05,1752,5,,,
1752.06,1752,6,,,
1752.07,1752,7,,,
1752.08,1752,8,,,
1752.09,1752,9,,,
1752.1,1752,10,-1.799,,7.461
1752.11,1752,11,0.509,,6.619
1752.12,1752,12,0.171,,3.821
1753.01,1753,1,-1.293,3.689,1.307
1753.02,1753,2,-2.206,5.309,1.004
1753.03,1753,3,0.332,3.099,5.662
1753.04,1753,4,-0.908,3.131,7.442
1753.05,1753,5,0.051,1.576,11.421
1753.06,1753,6,0.948,1.908,14.478
1753.07,1753,7,0.373,1.984,14.773
1753.08,1753,8,-0.785,1.642,13.125
1753.09,1753,9,0.373,1.741,12.483
1753.1,1753,10,-0.64,1.57,8.62
1753.11,1753,11,-1.442,2.032,4.668
1753.12,1753,12,-4.344,3.834,-0.694
1754.01,1754,1,-1.787,4.927,0.813
1754.02,1754,2,-4.158,6.409,-0.948
1754.03,1754,3,-1.349,2.936,3.981
1754.04,1754,4,2.698,1.577,11.048
1754.05,1754,5,-0.166,3.438,11.204
1754.06,1754,6,0.723,2.39,14.253
1754.07,1754,7,-0.02,1.598,14.38
1754.08,1754,8,-1.405,2.402,12.505
1754.09,1754,9,-1.898,2.419,10.212
1754.1,1754,10,0.088,1.671,9.348
1754.11,1754,11,-0.569,2.495,5.541
1754.12,1754,12,-0.322,2.44,3.328
1755.01,1755,1,-2.317,4.826,0.283
1755.02,1755,2,-2.883,5.047,0.327
1755.03,1755,3,-1.356,3.235,3.974
1755.04,1755,4,0.316,2.618,8.666
1755.05,1755,5,0.7,2.952,12.07
1755.06,1755,6,1.759,4.659,15.289
1755.07,1755,7,-0.499,1.69,13.901
1755.08,1755,8,-1.535,1.192,12.375
1755.09,1755,9,-1.203,1.948,10.907
1755.1,1755,10,0.561,3.263,9.821
1755.11,1755,11,-0.788,2.817,5.322
1755.12,1755,12,-2.486,3.979,1.164
1756.01,1756,1,0.514,2.974,3.114
1756.02,1756,2,2.882,4.234,6.092
1756.03,1756,3,-0.793,4.247,4.537
1756.04,1756,4,0.998,2.093,9.348
1756.05,1756,5,2.419,2.348,13.789
1756.06,1756,6,0.92,2.2,14.45
1756.07,1756,7,-0.984,1.646,13.416
1756.08,1756,8,-1.562,2.333,12.348
1756.09,1756,9,-0.307,1.67,11.803
1756.1,1756,10,-2.267,1.662,6.993
1756.11,1756,11,-2.54,2.013,3.57
1756.12,1756,12,-2.933,4.488,0.717
1757.01,1757,1,-3.543,3.758,-0.943
1757.02,1757,2,0.99,4.126,4.2
1757.03,1757,3,-0.458,3.31,4.872
1757.04,1757,4,-0.911,2.111,7.439
1757.05,1757,5,0.858,2.943,12.228
1757.06,1757,6,3.507,3.723,17.037
1757.07,1757,7,2.853,3.908,17.253
1757.08,1757,8,2.785,2.761,16.695
1757.09,1757,9,1.73,3.21,13.84
1757.1,1757,10,-3.468,3.228,5.792
