TIME AGE MILES
24.91 29 10
21.82 25 20
21.54 27 40
23.03 25 50
25.35 37 20
22.84 31 40
30.16 43 10
27.00 44 20
16.42 46 40
24.87 53 20
24.95 58 40
18.32 30 30
16.66 27 50
25.08 36 20
16.53 32 40
35.29 45 10
26.41 45 30
22.48 48 50
34.38 55 10
19.00 53 30
21.86 24 10
22.11 24 30
17.45 25 40
24.58 34 20
19.97 36 40
34.34 45 10
25.22 49 30
20.52 44 50
29.98 55 20
21.62 57 40
19.35 29 20
20.45 24 40
16.07 28 50
23.06 38 20
20.94 31 40
28.77 42 10
29.86 46 30
22.96 46 50
25.62 56 20
24.98 55 40
29.68 22 10
20.36 24 30
18.07 22 40
28.78 39 10
18.80 39 30
14.87 39 50
32.19 47 20
19.46 40 30
35.32 58 10
20.83 59 30
22.69 27 20
15.69 24 40
30.89 32 10
23.11 34 30
19.17 35 50
26.09 41 20
21.81 50 40
37.75 51 10
30.30 51 20
22.95 51 40
20.14 20 20
15.23 24 40
18.53 22 50
24.96 35 30
19.21 31 50
25.07 41 20
20.99 43 40
29.94 59 10
23.08 59 30
21.52 53 50
21.38 27 30
19.52 28 50
27.00 37 10
17.61 39 30
15.19 39 50
26.03 45 20
21.51 42 40
34.53 58 10
23.68 56 30
23.50 53 50
