subID,age_group,condition,time,speed
s1,OA,A,1,0.8
s1,OA,A,2,0.65
s1,OA,A,3,0.63
s1,OA,A,4,0.75
s1,OA,B,1,1.22
s1,OA,B,2,0.78
s1,OA,B,3,0.66
s1,OA,B,4,0.71
s1,OA,C,1,0.97
s1,OA,C,2,0.77
s1,OA,C,3,0.78
s1,OA,C,4,0.56
s2,OA,A,1,0.81
s2,OA,A,2,0.82
s2,OA,A,3,0.68
s2,OA,A,4,0.66
s2,OA,B,1,1.28
s2,OA,B,2,0.94
s2,OA,B,3,0.72
s2,OA,B,4,0.65
s2,OA,C,1,0.99
s2,OA,C,2,0.77
s2,OA,C,3,0.73
s2,OA,C,4,0.61
s3,OA,A,1,0.6
s3,OA,A,2,0.67
s3,OA,A,3,0.56
s3,OA,A,4,0.56
s3,OA,B,1,0.8
s3,OA,B,2,0.85
s3,OA,B,3,0.64
s3,OA,B,4,0.57
s3,OA,C,1,0.7
s3,OA,C,2,0.74
s3,OA,C,3,0.63
s3,OA,C,4,0.57
s4,OA,A,1,0.81
s4,OA,A,2,0.67
s4,OA,A,3,0.62
s4,OA,A,4,0.55
s4,OA,B,1,1.25
s4,OA,B,2,0.88
s4,OA,B,3,0.7
s4,OA,B,4,0.7
s4,OA,C,1,0.95
s4,OA,C,2,0.65
s4,OA,C,3,0.66
s4,OA,C,4,0.54
s5,OA,A,1,0.8
s5,OA,A,2,0.86
s5,OA,A,3,0.63
s5,OA,A,4,0.6
s5,OA,B,1,1.24
s5,OA,B,2,0.86
s5,OA,B,3,0.88
s5,OA,B,4,0.75
s5,OA,C,1,1.02
s5,OA,C,2,0.83
s5,OA,C,3,0.85
s5,OA,C,4,0.72
s6,OA,A,1,0.87
s6,OA,A,2,0.78
s6,OA,A,3,0.71
s6,OA,A,4,0.7
s6,OA,B,1,1.21
s6,OA,B,2,0.91
s6,OA,B,3,0.7
s6,OA,B,4,0.68
s6,OA,C,1,0.97
s6,OA,C,2,0.79
s6,OA,C,3,0.69
s6,OA,C,4,0.65
s7,OA,A,1,0.94
s7,OA,A,2,0.78
s7,OA,A,3,0.8
s7,OA,A,4,0.74
s7,OA,B,1,1.31
s7,OA,B,2,0.93
s7,OA,B,3,0.81
s7,OA,B,4,0.76
s7,OA,C,1,1.12
s7,OA,C,2,0.92
s7,OA,C,3,0.75
s7,OA,C,4,0.76
s8,OA,A,1,0.68
s8,OA,A,2,0.55
s8,OA,A,3,0.48
s8,OA,A,4,0.47
s8,OA,B,1,1.02
s8,OA,B,2,0.69
s8,OA,B,3,0.5
s8,OA,B,4,0.47
s8,OA,C,1,0.81
s8,OA,C,2,0.63
s8,OA,C,3,0.51
s8,OA,C,4,0.48
s9,OA,A,1,0.82
s9,OA,A,2,0.85
s9,OA,A,3,0.8
s9,OA,A,4,0.82
s9,OA,B,1,0.9
s9,OA,B,2,0.8
s9,OA,B,3,0.75
s9,OA,B,4,0.66
s9,OA,C,1,1.03
s9,OA,C,2,0.89
s9,OA,C,3,0.74
s9,OA,C,4,0.67
s10,OA,A,1,0.72
s10,OA,A,2,0.63
s10,OA,A,3,0.54
s10,OA,A,4,0.55
s10,OA,B,1,1.12
s10,OA,B,2,0.8
s10,OA,B,3,0.65
s10,OA,B,4,0.66
s10,OA,C,1,0.9
s10,OA,C,2,0.61
s10,OA,C,3,0.6
s10,OA,C,4,0.51
s11,YA,A,1,1.37
s11,YA,A,2,1.06
s11,YA,A,3,0.91
s11,YA,A,4,0.86
s11,YA,B,1,1.37
s11,YA,B,2,1.25
s11,YA,B,3,0.85
s11,YA,B,4,0.9
s11,YA,C,1,1.39
s11,YA,C,2,1.05
s11,YA,C,3,0.85
s11,YA,C,4,0.85
s12,YA,A,1,1.02
s12,YA,A,2,1.2
s12,YA,A,3,0.8
s12,YA,A,4,0.85
s12,YA,B,1,1.13
s12,YA,B,2,1.72
s12,YA,B,3,0.79
s12,YA,B,4,0.8
s12,YA,C,1,1.13
s12,YA,C,2,1.23
s12,YA,C,3,0.85
s12,YA,C,4,0.73
s13,YA,A,1,1.2
s13,YA,A,2,0.88
s13,YA,A,3,0.74
s13,YA,A,4,0.7
s13,YA,B,1,1.35
s13,YA,B,2,1.12
s13,YA,B,3,0.7
s13,YA,B,4,0.72
s13,YA,C,1,1.29
s13,YA,C,2,0.74
s13,YA,C,3,0.97
s13,YA,C,4,0.76
s14,YA,A,1,1.32
s14,YA,A,2,0.93
s14,YA,A,3,0.76
s14,YA,A,4,0.76
s14,YA,B,1,1.65
s14,YA,B,2,1.08
s14,YA,B,3,0.82
s14,YA,B,4,0.92
s14,YA,C,1,1.34
s14,YA,C,2,0.97
s14,YA,C,3,1.17
s14,YA,C,4,0.77
s15,YA,A,1,1.29
s15,YA,A,2,0.93
s15,YA,A,3,0.73
s15,YA,A,4,0.75
s15,YA,B,1,1.69
s15,YA,B,2,1.14
s15,YA,B,3,0.86
s15,YA,B,4,0.78
s15,YA,C,1,1.26
s15,YA,C,2,0.93
s15,YA,C,3,0.76
s15,YA,C,4,0.73
s16,YA,A,1,1.23
s16,YA,A,2,0.7
s16,YA,A,3,0.9
s16,YA,A,4,0.92
s16,YA,B,1,1.35
s16,YA,B,2,1.11
s16,YA,B,3,0.8
s16,YA,B,4,0.91
s16,YA,C,1,1.11
s16,YA,C,2,0.94
s16,YA,C,3,0.85
s16,YA,C,4,0.87
s17,YA,A,1,1.05
s17,YA,A,2,0.92
s17,YA,A,3,0.75
s17,YA,A,4,0.78
s17,YA,B,1,1.06
s17,YA,B,2,0.81
s17,YA,B,3,1.07
s17,YA,B,4,0.76
s17,YA,C,1,1.12
s17,YA,C,2,0.94
s17,YA,C,3,0.75
s17,YA,C,4,0.74
s18,YA,A,1,1.33
s18,YA,A,2,0.97
s18,YA,A,3,0.85
s18,YA,A,4,0.87
s18,YA,B,1,1.2
s18,YA,B,2,0.85
s18,YA,B,3,1.16
s18,YA,B,4,0.8
s18,YA,C,1,1.07
s18,YA,C,2,0.78
s18,YA,C,3,0.97
s18,YA,C,4,0.76
s19,YA,A,1,1.39
s19,YA,A,2,1.02
s19,YA,A,3,1.12
s19,YA,A,4,0.89
s19,YA,B,1,1.17
s19,YA,B,2,1.07
s19,YA,B,3,0.87
s19,YA,B,4,0.82
s19,YA,C,1,1.43
s19,YA,C,2,1.18
s19,YA,C,3,1.12
s19,YA,C,4,1.08
s20,YA,A,1,1.27
s20,YA,A,2,0.88
s20,YA,A,3,0.68
s20,YA,A,4,0.71
s20,YA,B,1,1.61
s20,YA,B,2,1.08
s20,YA,B,3,0.73
s20,YA,B,4,0.72
s20,YA,C,1,1.26
s20,YA,C,2,0.89
s20,YA,C,3,0.72
s20,YA,C,4,0.72
