State	Internet	College
AK	63.50	23.50
AL	79.00	28.00
AR	60.90	20.60
AZ	73.90	27.40
CA	77.90	31.00
CO	79.40	37.80
CT	77.50	37.20
DE	74.50	29.80
FL	74.30	27.20
GA	72.20	28.30
HI	78.60	31.20
IA	72.20	26.40
ID	73.20	26.20
IL	74.00	32.10
IN	69.70	23.80
KS	73.00	31.10
KY	68.50	22.60
LA	64.80	22.50
MA	79.60	40.30
MD	78.90	37.40
ME	72.90	28.20
MI	70.70	26.90
MN	76.50	33.50
MO	69.80	27.00
MS	57.40	20.40
MT	72.10	29.00
NC	70.80	28.40
ND	72.50	27.10
NE	72.90	29.40
NH	80.90	34.60
NJ	79.10	36.60
NM	64.40	26.40
NV	75.60	22.50
NY	75.30	34.10
OH	71.20	26.10
OK	66.70	23.80
OR	77.50	30.70
PA	72.40	28.70
RI	76.50	32.40
SC	66.60	26.10
SD	71.10	26.60
TN	67.00	24.80
TX	71.80	27.50
UT	79.60	31.30
VA	75.80	36.10
VT	75.30	35.70
WA	78.90	32.70
WI	73.00	27.70
WV	64.90	18.90
WY	75.50	26.60
